year, state, month, number, date
2001, Acre, Marco, 0, 2001-01-01
2002, Acre, Marco, 0, 2002-01-01
2003, Acre, Marco, 0, 2003-01-01
2004, Acre, Marco, 0, 2004-01-01
2005, Acre, Marco, 3, 2005-01-01
2006, Acre, Marco, 0, 2006-01-01
2007, Acre, Marco, 2, 2007-01-01
2008, Acre, Marco, 0, 2008-01-01
2009, Acre, Marco, 1, 2009-01-01
2010, Acre, Marco, 0, 2010-01-01
2011, Acre, Marco, 0, 2011-01-01
2012, Acre, Marco, 1, 2012-01-01
2013, Acre, Marco, 2, 2013-01-01
2014, Acre, Marco, 1, 2014-01-01
2015, Acre, Marco, 2, 2015-01-01
2016, Acre, Marco, 0, 2016-01-01
2017, Acre, Marco, 0, 2017-01-01
1998, Acre, Abril, 0, 1998-01-01
1999, Acre, Abril, 0, 1999-01-01
2000, Acre, Abril, 1, 2000-01-01
2001, Acre, Abril, 0, 2001-01-01
2002, Acre, Abril, 0, 2002-01-01
2003, Acre, Abril, 1, 2003-01-01
2004, Acre, Abril, 2, 2004-01-01
2005, Acre, Abril, 1, 2005-01-01
2006, Acre, Abril, 0, 2006-01-01
2007, Acre, Abril, 0, 2007-01-01
2008, Acre, Abril, 0, 2008-01-01
2009, Acre, Abril, 0, 2009-01-01
2010, Acre, Abril, 3, 2010-01-01
2011, Acre, Abril, 2, 2011-01-01
2012, Acre, Abril, 1, 2012-01-01
2013, Acre, Abril, 19, 2013-01-01
2014, Acre, Abril, 7, 2014-01-01
2015, Acre, Abril, 3, 2015-01-01
2016, Acre, Abril, 0, 2016-01-01
2017, Acre, Abril, 1, 2017-01-01
1998, Acre, Maio, 0, 1998-01-01
1999, Acre, Maio, 0, 1999-01-01
2000, Acre, Maio, 1, 2000-01-01
2001, Acre, Maio, 0, 2001-01-01
2002, Acre, Maio, 0, 2002-01-01
2003, Acre, Maio, 6, 2003-01-01
2004, Acre, Maio, 7, 2004-01-01
2005, Acre, Maio, 2, 2005-01-01
2006, Acre, Maio, 8, 2006-01-01
2007, Acre, Maio, 1, 2007-01-01
2008, Acre, Maio, 0, 2008-01-01
2009, Acre, Maio, 3, 2009-01-01
2010, Acre, Maio, 9, 2010-01-01
2011, Acre, Maio, 3, 2011-01-01
2012, Acre, Maio, 3, 2012-01-01
2013, Acre, Maio, 4, 2013-01-01
2014, Acre, Maio, 1, 2014-01-01
2015, Acre, Maio, 2, 2015-01-01
2016, Acre, Maio, 21, 2016-01-01
2017, Acre, Maio, 10, 2017-01-01
1998, Acre, Junho, 3, 1998-01-01
1999, Acre, Junho, 0, 1999-01-01
2000, Acre, Junho, 1, 2000-01-01
2001, Acre, Junho, 1, 2001-01-01
2002, Acre, Junho, 0, 2002-01-01
2003, Acre, Junho, 0, 2003-01-01
2004, Acre, Junho, 5, 2004-01-01
2005, Acre, Junho, 27, 2005-01-01
2006, Acre, Junho, 1, 2006-01-01
2007, Acre, Junho, 4, 2007-01-01
2008, Acre, Junho, 0, 2008-01-01
2009, Acre, Junho, 0, 2009-01-01
2010, Acre, Junho, 1, 2010-01-01
2011, Acre, Junho, 10, 2011-01-01
2012, Acre, Junho, 7, 2012-01-01
2013, Acre, Junho, 8, 2013-01-01
2014, Acre, Junho, 17, 2014-01-01
2015, Acre, Junho, 40, 2015-01-01
2016, Acre, Junho, 87, 2016-01-01
2017, Acre, Junho, 45, 2017-01-01
1998, Acre, Julho, 37, 1998-01-01
1999, Acre, Julho, 1, 1999-01-01
2000, Acre, Julho, 1, 2000-01-01
2001, Acre, Julho, 3, 2001-01-01
2002, Acre, Julho, 39, 2002-01-01
2003, Acre, Julho, 168, 2003-01-01
2004, Acre, Julho, 42, 2004-01-01
2005, Acre, Julho, 368, 2005-01-01
2006, Acre, Julho, 33, 2006-01-01
2007, Acre, Julho, 29, 2007-01-01
2008, Acre, Julho, 41, 2008-01-01
2009, Acre, Julho, 31, 2009-01-01
2010, Acre, Julho, 126, 2010-01-01
2011, Acre, Julho, 93, 2011-01-01
2012, Acre, Julho, 71, 2012-01-01
2013, Acre, Julho, 54, 2013-01-01
2014, Acre, Julho, 60, 2014-01-01
2015, Acre, Julho, 109, 2015-01-01
2016, Acre, Julho, 533, 2016-01-01
2017, Acre, Julho, 457, 2017-01-01
1998, Acre, Agosto, 130, 1998-01-01
1999, Acre, Agosto, 63, 1999-01-01
2000, Acre, Agosto, 136, 2000-01-01
2001, Acre, Agosto, 396, 2001-01-01
2002, Acre, Agosto, 728, 2002-01-01
2003, Acre, Agosto, 1.976, 2003-01-01
2004, Acre, Agosto, 645, 2004-01-01
2005, Acre, Agosto, 4.198, 2005-01-01
2006, Acre, Agosto, 839, 2006-01-01
2007, Acre, Agosto, 960, 2007-01-01
2008, Acre, Agosto, 445, 2008-01-01
2009, Acre, Agosto, 194, 2009-01-01
2010, Acre, Agosto, 1.682, 2010-01-01
2011, Acre, Agosto, 425, 2011-01-01
2012, Acre, Agosto, 739, 2012-01-01
2013, Acre, Agosto, 679, 2013-01-01
2014, Acre, Agosto, 1.1, 2014-01-01
2015, Acre, Agosto, 1.397, 2015-01-01
2016, Acre, Agosto, 2.188, 2016-01-01
2017, Acre, Agosto, 1.493, 2017-01-01
1998, Acre, Setembro, 509, 1998-01-01
1999, Acre, Setembro, 209, 1999-01-01
2000, Acre, Setembro, 265, 2000-01-01
2001, Acre, Setembro, 290, 2001-01-01
2002, Acre, Setembro, 1.949, 2002-01-01
2003, Acre, Setembro, 3.942, 2003-01-01
2004, Acre, Setembro, 1.978, 2004-01-01
2005, Acre, Setembro, 4.253, 2005-01-01
2006, Acre, Setembro, 2.37, 2006-01-01
2007, Acre, Setembro, 2.08, 2007-01-01
2008, Acre, Setembro, 1.666, 2008-01-01
2009, Acre, Setembro, 1.265, 2009-01-01
2010, Acre, Setembro, 2.531, 2010-01-01
2011, Acre, Setembro, 1.204, 2011-01-01
2012, Acre, Setembro, 1.996, 2012-01-01
2013, Acre, Setembro, 2.136, 2013-01-01
2014, Acre, Setembro, 2.175, 2014-01-01
2015, Acre, Setembro, 2.928, 2015-01-01
2016, Acre, Setembro, 3.586, 2016-01-01
2017, Acre, Setembro, 3.429, 2017-01-01
1998, Acre, Outubro, 44, 1998-01-01
1999, Acre, Outubro, 60, 1999-01-01
2000, Acre, Outubro, 18, 2000-01-01
2001, Acre, Outubro, 137, 2001-01-01
2002, Acre, Outubro, 687, 2002-01-01
2003, Acre, Outubro, 740, 2003-01-01
2004, Acre, Outubro, 461, 2004-01-01
2005, Acre, Outubro, 547, 2005-01-01
2006, Acre, Outubro, 316, 2006-01-01
2007, Acre, Outubro, 203, 2007-01-01
2008, Acre, Outubro, 652, 2008-01-01
2009, Acre, Outubro, 565, 2009-01-01
2010, Acre, Outubro, 292, 2010-01-01
2011, Acre, Outubro, 97, 2011-01-01
2012, Acre, Outubro, 348, 2012-01-01
2013, Acre, Outubro, 258, 2013-01-01
2014, Acre, Outubro, 406, 2014-01-01
2015, Acre, Outubro, 905, 2015-01-01
2016, Acre, Outubro, 509, 2016-01-01
2017, Acre, Outubro, 1.508, 2017-01-01
1998, Acre, Novembro, 0, 1998-01-01
1999, Acre, Novembro, 0, 1999-01-01
2000, Acre, Novembro, 0, 2000-01-01
2001, Acre, Novembro, 1, 2001-01-01
2002, Acre, Novembro, 86, 2002-01-01
2003, Acre, Novembro, 15, 2003-01-01
2004, Acre, Novembro, 10, 2004-01-01
2005, Acre, Novembro, 14, 2005-01-01
2006, Acre, Novembro, 18, 2006-01-01
2007, Acre, Novembro, 7, 2007-01-01
2008, Acre, Novembro, 4, 2008-01-01
2009, Acre, Novembro, 33, 2009-01-01
2010, Acre, Novembro, 39, 2010-01-01
2011, Acre, Novembro, 74, 2011-01-01
2012, Acre, Novembro, 13, 2012-01-01
2013, Acre, Novembro, 79, 2013-01-01
2014, Acre, Novembro, 56, 2014-01-01
2015, Acre, Novembro, 115, 2015-01-01
2016, Acre, Novembro, 46, 2016-01-01
2017, Acre, Novembro, 98, 2017-01-01
1998, Acre, Dezembro, 7, 1998-01-01
1999, Acre, Dezembro, 0, 1999-01-01
2000, Acre, Dezembro, 0, 2000-01-01
2001, Acre, Dezembro, 0, 2001-01-01
2002, Acre, Dezembro, 1, 2002-01-01
2003, Acre, Dezembro, 1, 2003-01-01
2004, Acre, Dezembro, 7, 2004-01-01
2005, Acre, Dezembro, 2, 2005-01-01
2006, Acre, Dezembro, 0, 2006-01-01
2007, Acre, Dezembro, 0, 2007-01-01
2008, Acre, Dezembro, 0, 2008-01-01
2009, Acre, Dezembro, 1, 2009-01-01
2010, Acre, Dezembro, 0, 2010-01-01
2011, Acre, Dezembro, 4, 2011-01-01
2012, Acre, Dezembro, 1, 2012-01-01
2013, Acre, Dezembro, 3, 2013-01-01
2014, Acre, Dezembro, 6, 2014-01-01
2015, Acre, Dezembro, 8, 2015-01-01
2016, Acre, Dezembro, 6, 2016-01-01
